gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
NADH17pp,4.0 h_c + mqn8_c + nadh_c --> 3.0 h_p + mql8_c + nad_c,NADH17pp,NADH dehydrogenase (menaquinone-8 & 3 protons) (periplasm)
FA161ACPHi,h2o_c + hdeACP_c --> ACP_c + h_c + hdcea_c,FA161ACPHi,Fatty-acyl-ACP hydrolase
BGLA1,6pgg_c + h2o_c --> g6p_c + glc__D_c,BGLA1,6-phospho-beta-glucosidase
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,FA141ACPHi,Fatty-acyl-ACP hydrolase
THRt2pp,h_p + thr__L_c --> h_c + thr__L_p,THRt2pp,L-threonine efflux transport via proton antiport (periplasm)
ARGt3pp,arg__L_c + h_p --> arg__L_p + h_c,ARGt3pp,L-arginine transport out via proton antiport (cytoplasm to periplasm)
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,FA160ACPHi,Fatty-acyl-ACP hydrolase
MALDtex,mal__D_e <=> mal__D_p,MALDtex,D-Malate transport via diffusion (extracellular to periplasm)
OROTtex,orot_e <=> orot_p,OROTtex,Orotate transport via diffusion (extracellular to periplasm)
EX_crn__D_e,crn__D_e --> ,EX_crn__D_e,D-carnitine exchange
GDPMNP,gdpmann_c + h2o_c --> gmp_c + 2.0 h_c + man1p_c,GDPMNP,GDP-mannose phyrophosphatase
OPHHX3,2oph_c + 2.0 atp_c + 3.0 h2o_c + nad_c --> 2ohph_c + 2.0 adp_c + 3.0 h_c + nadh_c + 2.0 pi_c,OPHHX3,2-Octaprenylphenol hydroxylase (anaerobic)
AMMQLT8,2dmmql8_c + amet_c --> ahcys_c + h_c + mql8_c,AMMQLT8,S-adenosylmethione:2-demthylmenaquinole methyltransferase (menaquinone 8)
FA120ACPHi,ddcaACP_c + h2o_c --> ACP_c + ddca_c + h_c,FA120ACPHi,Fatty-acyl-ACP hydrolase
FA80ACPHi,h2o_c + ocACP_c --> ACP_c + h_c + octa_c,FA80ACPHi,Fatty-acyl-ACP hydrolase
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,FA140ACPHi,Fatty-acyl-ACP hydrolase
PPAt4pp,na1_p + ppa_p --> na1_c + ppa_c,PPAt4pp,Na+/Propionate symporter (periplasm)
OROTt2_2pp,2.0 h_p + orot_p --> 2.0 h_c + orot_c,OROTt2_2pp,Orotate transport via proton symport (2 H) (periplasm)
MALDt2_2pp,2.0 h_p + mal__D_p --> 2.0 h_c + mal__D_c,MALDt2_2pp,D-Malate transport via proton symport (2 H) (periplasm)
FA100ACPHi,dcaACP_c + h2o_c --> ACP_c + dca_c + h_c,FA100ACPHi,Fatty-acyl-ACP hydrolase
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,CRNDCAL2,D-Carnitine-CoA Ligase
5DGLCNtex,5dglcn_e <=> 5dglcn_p,5DGLCNtex,5-Dehydro-D-gluconate transport via diffusion (extracellular to periplasm)
EX_LalaDgluMdapDala_e,LalaDgluMdapDala_e --> ,EX_LalaDgluMdapDala_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine exchange"
EX_5dglcn_e,5dglcn_e --> ,EX_5dglcn_e,5-Dehydro-D-gluconate exchange
DTARTD,tartr__D_c --> h2o_c + oaa_c,DTARTD,D(-)-tartrate dehydratase
CRNCAL2,atp_c + coa_c + crn_c --> adp_c + crncoa_c + pi_c,CRNCAL2,Carnitine-CoA Ligase
CHLt2pp,chol_p + h_p --> chol_c + h_c,CHLt2pp,Choline transport via proton symport (periplasm)
GLYt4pp,gly_p + na1_p --> gly_c + na1_c,GLYt4pp,Glycine transport in via sodium symport (periplasm)
PLIPA2E161pp,h2o_p + pe161_p --> 1agpe161_p + h_p + hdcea_p,PLIPA2E161pp,"Phospholipase A2 (phosphatidylethanolamine, n-C16:1) (periplasm)"
PLIPA2E180pp,h2o_p + pe180_p --> 1agpe180_p + h_p + ocdca_p,PLIPA2E180pp,"Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)"
FRULYSE,psclys_c <=> frulys_c,FRULYSE,Fructoselysine 3-epimerase
FRULYSt2pp,frulys_p + h_p --> frulys_c + h_c,FRULYSt2pp,Fructoselysine transport via proton symport (periplasm)
EX_LalaDgluMdap_e,LalaDgluMdap_e --> ,EX_LalaDgluMdap_e,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate exchange"
EX_psclys_e,psclys_e --> ,EX_psclys_e,Psicoselysine exchange
TUNGStex,tungs_e <=> tungs_p,TUNGStex,Tungstate transport via diffusion (extracellular to periplasm)
PLIPA2G120pp,h2o_p + pg120_p --> 1agpg120_p + ddca_p + h_p,PLIPA2G120pp,"Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)"
PLIPA2G180pp,h2o_p + pg180_p --> 1agpg180_p + h_p + ocdca_p,PLIPA2G180pp,"Phospholipase A2 (phosphatidylglycerol, n-C18:0) (periplasm)"
LPLIPAL1A161pp,1hdec9eg3p_p + h2o_p --> glyc3p_p + h_p + hdcea_p,LPLIPAL1A161pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:1) (periplasm)"
LPLIPAL1A160pp,1hdecg3p_p + h2o_p --> glyc3p_p + h_p + hdca_p,LPLIPAL1A160pp,"Lysophospholipase L1 (2-acylglycerophosphotidate, n-C16:0) (periplasm)"
PSCLYSt2pp,h_p + psclys_p --> h_c + psclys_c,PSCLYSt2pp,Psicoselysine transport via proton symport (periplasm)
LYSt2pp,h_p + lys__L_p --> h_c + lys__L_c,LYSt2pp,L-lysine transport in via proton symport (periplasm)
COBALT2tpp,cobalt2_p --> cobalt2_c,COBALT2tpp,Cobalt transport in via permease (no H+)
OXCDC,h_c + oxalcoa_c --> co2_c + forcoa_c,OXCDC,Oxalyl-CoA decarboxylase
LPLIPAL2A140,2tdecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ttdca_c,LPLIPAL2A140,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C14:0)"
LPLIPAL2A160,2hdecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdca_c,LPLIPAL2A160,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:0)"
LPLIPAL2A161,2hdec9eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + hdcea_c,LPLIPAL2A161,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C16:1)"
LPLIPAL2A180,2odecg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdca_c,LPLIPAL2A180,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:0)"
GLYt2pp,gly_p + h_p --> gly_c + h_c,GLYt2pp,Glycine transport in via proton symport (periplasm)
ALAt2pp,ala__L_p + h_p --> ala__L_c + h_c,ALAt2pp,L-alanine transport in via proton symport (periplasm)
EX_anhgm_e,anhgm_e --> ,EX_anhgm_e,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid exchange
BALAt2pp,ala_B_p + h_p --> ala_B_c + h_c,BALAt2pp,Beta-alanine transport in via proton symport (periplasm)
DALAt2pp,ala__D_p + h_p --> ala__D_c + h_c,DALAt2pp,D-alanine transport in via proton symport (periplasm)
FE2tpp,fe2_p --> fe2_c,FE2tpp,Iron (+2) transport in via permease (no H+)
LPLIPAL2A181,2odec11eg3p_c + h2o_c --> glyc3p_c + 2.0 h_c + ocdcea_c,LPLIPAL2A181,"Lysophospholipase L2 (2-acylglycerophosphotidate, n-C18:1)"
DM_aacald_c,aacald_c --> ,DM_aacald_c,Sink needed to allow aminoacetaldehyde to leave system
UM3PL,LalaDgluMdap_c + atp_c + uamr_c --> adp_c + h_c + pi_c + ugmd_c,UM3PL,UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase
MN2tpp,mn2_p --> mn2_c,MN2tpp,Manganese transport in via permease (no H+)
MG2tpp,mg2_p --> mg2_c,MG2tpp,Magnesium (+2) transport in via diffusion
5MTRtex,5mtr_e <=> 5mtr_p,5MTRtex,5-Methylthio-D-ribose transport via proton diffusion (extracellular to periplasm)
NI2t3pp,h_p + ni2_c --> h_c + ni2_p,NI2t3pp,Nickle (Ni+2) transport out via proton antiport (periplasm)
PPAtex,ppa_e <=> ppa_p,PPAtex,Propionate transport via diffusion
GALCTNLt2pp,galctn__L_p + h_p --> galctn__L_c + h_c,GALCTNLt2pp,L-galactonate transport via proton symport (periplasm)
GALCTLO,galctn__L_c + nad_c --> h_c + nadh_c + tagur_c,GALCTLO,L-galactonate oxidoreductase
THYMt3pp,h_p + thym_c --> h_c + thym_p,THYMt3pp,Thymine transport out via proton antiport (periplasm)
CLt3_2pp,2.0 cl_p + h_c --> 2.0 cl_c + h_p,CLt3_2pp,Chloride transport out via proton antiport (2:1) (periplasm)
EX_ppal_e,ppal_e --> ,EX_ppal_e,Propanal exchange
POR5,coa_c + 2.0 flxso_c + pyr_c <=> accoa_c + co2_c + 2.0 flxr_c + h_c,POR5,Pyruvate synthase
HACD8,3ohodcoa_c + h_c + nadh_c <=> 3hodcoa_c + nad_c,HACD8,"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA), peroxisomal"
CTECOAI8,odecoa_c <=> od2coa_c,CTECOAI8,3-cis-2-trans-enoyl-CoA isomerase
CTECOAI6,tdecoa_c <=> td2coa_c,CTECOAI6,3-cis-2-trans-enoyl-CoA isomerase
MTHTHFSs,h2o_c + mdhdhf_c --> mththf_c,MTHTHFSs,"(2R,4S)-2-methyl-2,3,3,4-tetrahydroxytetrahydrofuran synthesis (spontaneous)"
SELGTHR,4.0 gthrd_c + 2.0 h_c + slnt_c --> dgslnt_c + gthox_c + 3.0 h2o_c,SELGTHR,Selenate glutathione reductase
SELGTHR3,gslnt_c + nadph_c --> gthrd_c + nadp_c + seln_c,SELGTHR3,Selenate glutathione reductase III
EX_slnt_e,slnt_e <=> ,EX_slnt_e,Selenite exchange
MALCOAMT,amet_c + malcoa_c --> ahcys_c + malcoame_c,MALCOAMT,Malonyl-CoA methyltransferase
PSCLYStex,psclys_e <=> psclys_p,PSCLYStex,Psicoselysine transporter via diffusion (extracellular)
THYMtex,thym_e <=> thym_p,THYMtex,Thymine transport via diffusion (extracellular to periplasm)
CU2tpp,cu2_p --> cu2_c,CU2tpp,Copper transport in via permease (no H+)
FE2t3pp,fe2_c + h_p --> fe2_p + h_c,FE2t3pp,Iron (Fe+2) transport out via proton antiport (periplasm)
MN2t3pp,h_p + mn2_c --> h_c + mn2_p,MN2t3pp,Manganese (Mn+2) transport out via proton antiport (periplasm)
MG2t3_2pp,2.0 h_c + mg2_p <=> 2.0 h_p + mg2_c,MG2t3_2pp,Magnesium (Mg+2) transport in/out via proton antiport (periplasm)
CD2tpp,cd2_p --> cd2_c,CD2tpp,Cadmium (+2) transport in via permease (no H+)
ETHAt2pp,etha_p + h_p --> etha_c + h_c,ETHAt2pp,Ethanolamine transport in via proton symport
FE3abcpp,atp_c + fe3_p + h2o_c --> adp_c + fe3_c + h_c + pi_c,FE3abcpp,Iron (III) transport via ABC system (periplasm to cytoplasm)
THRA,thr__L_c --> acald_c + gly_c,THRA,Threonine aldolase
OGMEACPS,h_c + malACP_c + malcoame_c --> co2_c + coa_c + ogmeACP_c,OGMEACPS,3-Oxo-glutaryl-[ACP] methyl ester synthase
OGMEACPR,h_c + nadph_c + ogmeACP_c --> hgmeACP_c + nadp_c,OGMEACPR,3-Oxo-glutaryl-[ACP] methyl ester reductase
OPMEACPS,gmeACP_c + h_c + malACP_c --> ACP_c + co2_c + opmeACP_c,OPMEACPS,3-Oxo-pimeloyl-[ACP] methyl ester synthase
LIPAabctex,atp_c + h2o_c + lipa_p --> adp_c + h_c + lipa_e + pi_c,LIPAabctex,Lipid A transport via ABC system (periplasm to extracellular)
DGUNC,2.0 gtp_c --> cdigmp_c + 2.0 ppi_c,DGUNC,Diguanylate cyclase
XYLK2,atp_c + xylu__L_c --> adp_c + h_c + xu5p__L_c,XYLK2,L-xylulokinase
GLDBRAN2,bglycogen_c --> glycogen_c,GLDBRAN2,Glycogen debranching enzyme (bglycogen -> glycogen)
LALADGLUtex,LalaDglu_e <=> LalaDglu_p,LALADGLUtex,L-alanyl-D-glutamate transport via diffusion (extracellular to periplasm)
S2FE2SR,2fe1s_c + atp_c + h2o_c + sufbcd_c + sufsesh_c --> adp_c + 5.0 h_c + pi_c + sufbcd_2fe2s_c + sufse_c,S2FE2SR,SUF [2Fe-2S] regeneration
CDGUNPD,cdigmp_c + h2o_c --> 5pg35pg_c + h_c,CDGUNPD,"3,5-cyclic-nucleotide phosphodiesterase"
ACACT8r,3ohodcoa_c + coa_c <=> accoa_c + pmtcoa_c,ACACT8r,"Acetyl-CoA acyltransferase (hexadecanoyl-CoA), (r)"
LALALGLUtpp,LalaLglu_p + h_p --> LalaLglu_c + h_c,LALALGLUtpp,L-alanyl-L-glutamate transport in via proton symport (periplasm)
CTECOAI7,hdcoa_c <=> hdd2coa_c,CTECOAI7,3-cis-2-trans-enoyl-CoA isomerase
CLIPAabctex,atp_c + h2o_c + lipa_cold_p --> adp_c + h_c + lipa_cold_e + pi_c,CLIPAabctex,Cold lipid A transport via ABC system (periplasm to extracellular)
3AMACHYD,3amac_c + h2o_c + h_c --> msa_c + nh4_c,3AMACHYD,3-aminoacrylate hydrolase
K2L4Aabctex,atp_c + h2o_c + kdo2lipid4_p --> adp_c + h_c + kdo2lipid4_e + pi_c,K2L4Aabctex,KDO(2)-lipid IV A transport via ABC system (periplasm to extracellular)
FDH4pp,for_p + 2.0 h_c + q8_c --> co2_p + h_p + q8h2_c,FDH4pp,Formate dehydrogenase (quinone-8) (periplasm)
FDH5pp,for_p + 2.0 h_c + mqn8_c --> co2_p + h_p + mql8_c,FDH5pp,Formate Dehydrogenase (menaquinone-8) (periplasm)
ACPPAT140,h_c + myrsACP_c + pi_c --> ACP_c + ttdcap_c,ACPPAT140,Acyl-(acyl carrier protein):phosphate acyltransferase (C14:0)
APG3PAT140,glyc3p_c + ttdcap_c --> 1tdecg3p_c + h_c + pi_c,APG3PAT140,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:0)
LDGUNPD,5pg35pg_c + h2o_c --> 2.0 gmp_c + h_c,LDGUNPD,Linear diguanylate phosphodiesterase
MPTAT,atp_c + h_c + mpt_c --> mptamp_c + ppi_c,MPTAT,Molybdopterin adenylyltransferase
APG3PAT141,glyc3p_c + ttdceap_c --> 1tdec7eg3p_c + h_c + pi_c,APG3PAT141,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1)
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,MOADSUx,"MoaD sulfuration (nadh, assumed)"
3HPPtex,3hpp_e <=> 3hpp_p,3HPPtex,3-hydroxypropionate transport via diffusion (extracellular to periplasm)
CMtpp,cm_p + h_p --> cm_e + h_c,CMtpp,Chloramphenicol transport via TolC system
FUSAtpp,fusa_p + h_p --> fusa_e + h_c,FUSAtpp,Fusidic acid transport via TolC system
APG3PAT181,glyc3p_c + ocdceap_c --> 1odec11eg3p_c + h_c + pi_c,APG3PAT181,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:1)
APH140,h2o_c + ttdcap_c --> 2.0 h_c + pi_c + ttdca_c,APH140,Acylphosphatase (C14:0)
APH160,h2o_c + hdcap_c --> 2.0 h_c + hdca_c + pi_c,APH160,Acylphosphatase (C16:0)
OPMEACPD,hpmeACP_c --> epmeACP_c + h2o_c,OPMEACPD,3-Oxo-pimeloyl-[ACP] methyl ester dehydratase
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,EPMEACPR,Enoylpimeloyl-[ACP] methyl ester reductase
RFAMPtex,rfamp_e <=> rfamp_p,RFAMPtex,Rifampin transport via diffusion (extracellular to periplasm)
MINCYCtex,mincyc_e <=> mincyc_p,MINCYCtex,Minocycline transport via diffusion (extracellular to periplasm)
AOXSr2,ala__L_c + pimACP_c --> 8aonn_c + ACP_c + co2_c,AOXSr2,8-amino-7-oxononanoate synthase
MINCYCtpp,h_p + mincyc_p --> h_c + mincyc_e,MINCYCtpp,Minocycline transport via TolC system
MEOHtrpp,meoh_p <=> meoh_c,MEOHtrpp,Methanol reversible transport via diffusion (periplasm)
EX_LalaDglu_e,LalaDglu_e --> ,EX_LalaDglu_e,L-alanine-D-glutamate exchange
SCYSDS,cys__L_c + sufse_c --> ala__L_c + sufsesh_c,SCYSDS,SUF Cysteine desulfuration
DOXRBCNtex,doxrbcn_e <=> doxrbcn_p,DOXRBCNtex,Doxorubicin transport via diffusion (extracellular to periplasm)
DOXRBCNtpp,doxrbcn_p + h_p --> doxrbcn_e + h_c,DOXRBCNtpp,Doxorubicin transport via TolC system
S2FE2SS,atp_c + fadh2_c + 2.0 fe2_c + h2o_c + sufbcd_c + 2.0 sufsesh_c --> adp_c + fad_c + 7.0 h_c + pi_c + sufbcd_2fe2s_c + 2.0 sufse_c,S2FE2SS,SUF [2Fe-2S] Synthesis
S4FE4SR,fadh2_c + 2.0 h_c + sufbcd_2fe2s2_c --> fad_c + sufbcd_4fe4s_c,S4FE4SR,SUF [4Fe-4S] Reduction
CCGS,atp_c + cdg_c + nh4_c --> adp_c + h2o_c + h_c + pi_c + preq0_c,CCGS,7-cyano-7-carbaguanine synthase
SELtex,sel_e <=> sel_p,SELtex,Selenate transport via diffusion (extracellular to periplasm)
SELR,mql8_c + sel_c --> h2o_c + mqn8_c + slnt_c,SELR,Selenate reductase
OGMEACPD,hgmeACP_c --> egmeACP_c + h2o_c,OGMEACPD,3-Oxo-glutaryl-[ACP] methyl ester dehydratase
EGMEACPR,egmeACP_c + h_c + nadph_c --> gmeACP_c + nadp_c,EGMEACPR,Enoylglutaryl-[ACP] methyl ester reductase
OPMEACPR,h_c + nadph_c + opmeACP_c --> hpmeACP_c + nadp_c,OPMEACPR,3-Oxo-pimeloyl-[ACP] methyl ester reductase
PMEACPE,h2o_c + pmeACP_c --> meoh_c + pimACP_c,PMEACPE,Pimeloyl-[ACP] methyl ester esterase
ETOHtrpp,etoh_p <=> etoh_c,ETOHtrpp,Ethanol reversible transport via diffusion (periplasm)
REPHACCOAI,rephaccoa_c <=> 2oxpaccoa_c,REPHACCOAI,"Ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)"
ACPPAT141,h_c + pi_c + tdeACP_c --> ACP_c + ttdceap_c,ACPPAT141,Acyl-(acyl carrier protein):phosphate acyltransferase (C14:1)
ACPPAT161,h_c + hdeACP_c + pi_c --> ACP_c + hdceap_c,ACPPAT161,Acyl-(acyl carrier protein):phosphate acyltransferase (C16:1)
ACPPAT180,h_c + ocdcaACP_c + pi_c --> ACP_c + ocdcap_c,ACPPAT180,Acyl-(acyl carrier protein):phosphate acyltransferase (C18:0)
APG3PAT160,glyc3p_c + hdcap_c --> 1hdecg3p_c + h_c + pi_c,APG3PAT160,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:0)
APG3PAT161,glyc3p_c + hdceap_c --> 1hdec9eg3p_c + h_c + pi_c,APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1)
MEOHtex,meoh_e <=> meoh_p,MEOHtex,Methanol transport via diffusion (extracellular to periplasm)
EX_5mtr_e,5mtr_e --> ,EX_5mtr_e,5-Methylthio-D-ribose exchange
APG3PAT180,glyc3p_c + ocdcap_c --> 1odecg3p_c + h_c + pi_c,APG3PAT180,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C18:0)
ICYSDS,cys__L_c + iscs_c --> ala__L_c + iscssh_c,ICYSDS,ISC Cysteine desulfuration
MECDPDH5,2mecdp_c + 2.0 flxr_c + h_c --> 2.0 flxso_c + h2mb4p_c + h2o_c,MECDPDH5,"2C-methyl-D-erythritol 2,4 cyclodiphosphate dehydratase"
CDGR,3.0 h_c + 2.0 nadph_c + preq0_c --> 2.0 nadp_c + preq1_c,CDGR,7-cyano-7-deazaguanine reductase
RNTR1c2,atp_c + 2.0 flxr_c + 2.0 h_c --> datp_c + 2.0 flxso_c + h2o_c,RNTR1c2,Ribonucleoside-triphosphate reductase (ATP) (flavodoxin)
RNTR2c2,2.0 flxr_c + gtp_c + 2.0 h_c --> dgtp_c + 2.0 flxso_c + h2o_c,RNTR2c2,Ribonucleoside-triphosphate reductase (GTP) (flavodoxin)
I4FE4SR,fadh2_c + 2.0 h_c + iscu_2fe2s2_c --> fad_c + iscu_4fe4s_c,I4FE4SR,ISC [4Fe-4S] Reduction
S2FE2ST,4.0 h_c + sufbcd_2fe2s_c --> 2fe2s_c + sufbcd_c,S2FE2ST,SUF [2Fe-2S] Transfer
BMOCOS,moco_c + mptamp_c --> amp_c + bmoco_c + cu2_c,BMOCOS,Bis-molybdenum cofactor synthase
BWCOS,mptamp_c + wco_c --> amp_c + bwco_c + cu2_c,BWCOS,Tungsten bispterin cofactor synthase
RNTR3c2,ctp_c + 2.0 flxr_c + 2.0 h_c --> dctp_c + 2.0 flxso_c + h2o_c,RNTR3c2,Ribonucleoside-triphosphate reductase (CTP) (flavodoxin)
RNTR4c2,2.0 flxr_c + 2.0 h_c + utp_c --> dutp_c + 2.0 flxso_c + h2o_c,RNTR4c2,Ribonucleoside-triphosphate reductase (UTP) (flavodoxin)
BWCOGDS1,bwco_c + gtp_c + h_c --> bwco1gdp_c + ppi_c,BWCOGDS1,Tungsten bispterin guanine dinucleotide synthase (single GDP)
BWCOGDS2,bwco1gdp_c + gtp_c + h_c --> bwcogdp_c + ppi_c,BWCOGDS2,Tungsten bispterin guanine dinucleotide synthase
FLDR2,2.0 flxso_c + nadph_c --> 2.0 flxr_c + h_c + nadp_c,FLDR2,Flavodoxin reductase (NADPH)
CDGS,cph4_c + h_c --> cdg_c + nh4_c,CDGS,7-deaza-7-carboxyguanine synthase
5MTRtpp,5mtr_c + h_c --> 5mtr_p + h_p,5MTRtpp,5-Methylthio-D-ribose transport via proton symport (periplasm)
TTRCYCtex,ttrcyc_e <=> ttrcyc_p,TTRCYCtex,Tetracycline transport via diffusion (extracellular to periplasm)
DHNPTE,dhnpt_c <=> dhmpt_c,DHNPTE,Dihydroneopterin epimerase
DHMPTR,dhmpt_c + h_c + nadph_c --> nadp_c + thmnp_c,DHMPTR,Dihydromonapterin reductase
NOVBCNtpp,h_p + novbcn_p --> h_c + novbcn_e,NOVBCNtpp,Novobiocin transport via TolC system
CMtex,cm_e <=> cm_p,CMtex,Chloramphenicol transport via diffusion (extracellular to periplasm)
TTRCYCtpp,h_p + ttrcyc_p --> h_c + ttrcyc_e,TTRCYCtpp,Tetracycline transport via TolC system
LALALGLUtex,LalaLglu_e <=> LalaLglu_p,LALALGLUtex,L-alanyl-L-glutamate transport via diffusion (extracellular to periplasm)
CBMD,cbm_c + 2.0 h_c --> co2_c + nh4_c,CBMD,Carbamate deaminase
LALADGLUtpp,LalaDglu_p + h_p --> LalaDglu_c + h_c,LALADGLUtpp,L-alanyl-D-glutamate transport in via proton symport (periplasm)
I2FE2SS,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_2fe2s_c,I2FE2SS,ISC [2Fe-2S] Synthesis
I2FE2ST,4.0 h_c + iscu_2fe2s_c --> 2fe2s_c + iscu_c,I2FE2ST,ISC [2Fe-2S] Transfer
FESR,3fe4s_c + fe2_c --> 4fe4s_c,FESR,Iron-sulfur cluster repair
OXCOAHDH,2oxpaccoa_c + 2.0 h2o_c + nadp_c --> 3oxdhscoa_c + 2.0 h_c + nadph_c,OXCOAHDH,"Oxepin-CoA hydrolase/ 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (NADP+)"
DHACOAH,23dhacoa_c + h2o_c <=> 3hadpcoa_c,DHACOAH,"2,3-dehydroadipyl-CoA hydratase"
I2FE2SS2,fadh2_c + 2.0 fe2_c + 2.0 iscssh_c + iscu_2fe2s_c --> fad_c + 6.0 h_c + 2.0 iscs_c + iscu_2fe2s2_c,I2FE2SS2,ISC [2Fe-2S] Synthesis II
MSAR,h_c + msa_c + nadph_c --> 3hpp_c + nadp_c,MSAR,Malonic semialdehyde reductase
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,I4FE4ST,ISC [4Fe-4S] Transfer
S4FE4ST,4.0 h_c + sufbcd_4fe4s_c --> 4fe4s_c + sufbcd_c,S4FE4ST,SUF [4Fe-4S] Transfer
THFAT,h2o_c + methf_c --> 5fthf_c + h_c,THFAT,Tetrahydrofolate aminomethyltransferase
FOMETRi,5fthf_c + h_c --> h2o_c + methf_c,FOMETRi,Aminomethyltransferase
SLNTtex,slnt_e <=> slnt_p,SLNTtex,Selenite transport via diffusion (extracellular to periplasm)
S2FE2SS2,atp_c + fadh2_c + 2.0 fe2_c + h2o_c + sufbcd_2fe2s_c + 2.0 sufsesh_c --> adp_c + fad_c + 7.0 h_c + pi_c + sufbcd_2fe2s2_c + 2.0 sufse_c,S2FE2SS2,SUF [2Fe-2S] Synthesis II
BTS5,2fe2s_c + amet_c + dtbt_c --> 2fe1s_c + btn_c + dad_5_c + h_c + met__L_c,BTS5,Biotin synthase
SELGTHR2,dgslnt_c + h_c + nadph_c --> gslnt_c + gthrd_c + nadp_c,SELGTHR2,Selenate glutathione reductase II
EX_LalaLglu_e,LalaLglu_e --> ,EX_LalaLglu_e,L-alanine-L-glutamate exchange
GDPTPDP,gdptp_c + h2o_c --> gtp_c + ppi_c,GDPTPDP,Guanosine 3'-diphosphate 5'-triphosphate 3'-diphosphatase
LIPOS,4fe4s_c + 2.0 amet_c + h_c + nad_c + octapb_c --> 2fe2s_c + 2.0 dad_5_c + 2.0 fe2_c + lipopb_c + 2.0 met__L_c + nadh_c,LIPOS,Lipoate synthase
COLIPAKpp,colipa_p + udcpdp_p --> colipap_p + udcpp_p,COLIPAKpp,Lipid A core kinase (periplasm)
ACPPAT120,ddcaACP_c + h_c + pi_c --> ACP_c + ddcap_c,ACPPAT120,Acyl-(acyl carrier protein):phosphate acyltransferase (C12:0)
3HPPtpp,3hpp_c + h_c --> 3hpp_p + h_p,3HPPtpp,3-hydroxypropionate transport via proton symport (periplasm)
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,MPTSS,Molybdopterin synthase sulfurylase
CPMPS,gtp_c + h2o_c --> cpmp_c + ppi_c,CPMPS,Cyclic pyranopterin monophosphate synthase
LIPOCT,h_c + ocACP_c --> ACP_c + octapb_c,LIPOCT,Lipoyl(octanoyl) transferase
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,LIPATPT,Lipoate-ATP adenylate transferase
LIPAMPL,lipoamp_c --> amp_c + lipopb_c,LIPAMPL,Lipoyl-adenylate protein ligase
ALDD19xr,h2o_c + nad_c + pacald_c <=> 2.0 h_c + nadh_c + pac_c,ALDD19xr,"Aldehyde dehydrogenase (phenylacetaldehyde, NAD)"
MMM,succoa_c --> mmcoa__S_c,MMM,Methylmalonyl-CoA mutase
MOGDS,gtp_c + h_c + moco_c --> mocogdp_c + ppi_c,MOGDS,Molybdopterin guanine dinucleotide synthase
CPH4S,ahdt_c + h2o_c --> acald_c + cph4_c + h_c + pppi_c,CPH4S,"6-carboxy-5,6,7,8-tetrahydropterin synthase"
WCOS,2.0 h_c + mptamp_c + tungs_c --> amp_c + cu2_c + h2o_c + wco_c,WCOS,Tungsten pterin cofactor synthase
RFAMPtpp,h_p + rfamp_p --> h_c + rfamp_e,RFAMPtpp,Rifampin transport via TolC system
