gem_rxn_id,gem_rxn,gem_bigg,gem_rxn_name
NADH9,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c,NADH9,NADH dehydrogenase (demethylmenaquinone-8 & 0 protons)
EX_val__L_e,val__L_e --> ,EX_val__L_e,L-Valine exchange
NADH10,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,NADH10,NADH dehydrogenase (menaquinone-8 & 0 protons)
ADK4,amp_c + itp_c <=> adp_c + idp_c,ADK4,Adentylate kinase (ITP)
INSK,atp_c + ins_c --> adp_c + h_c + imp_c,INSK,Insosine kinase
MDH,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,MDH,Malate dehydrogenase
ABTA,4abut_c + akg_c --> glu__L_c + sucsal_c,ABTA,4-aminobutyrate transaminase
EX_xan_e,xan_e --> ,EX_xan_e,Xanthine exchange
FUM,fum_c + h2o_c <=> mal__L_c,FUM,Fumarase
FMNAT,atp_c + fmn_c + h_c --> fad_c + ppi_c,FMNAT,FMN adenylyltransferase
PYDXNK,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c,PYDXNK,Pyridoxine kinase
PYAM5PO,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,PYAM5PO,Pyridoxamine 5'-phosphate oxidase
SSALx,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c,SSALx,Succinate-semialdehyde dehydrogenase (NAD)
ASPT,asp__L_c --> fum_c + nh4_c,ASPT,L-aspartase
OHPBAT,glu__L_c + ohpb_c <=> akg_c + phthr_c,OHPBAT,O-Phospho-4-hydroxy-L-threonine:2-oxoglutarate aminotransferase
SERD_L,ser__L_c --> nh4_c + pyr_c,SERD_L,L-serine deaminase
EX_dgsn_e,dgsn_e --> ,EX_dgsn_e,Deoxyguanosine exchange
NADDP,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,NADDP,NAD diphosphatase
EX_arab__L_e,arab__L_e --> ,EX_arab__L_e,L-Arabinose exchange
EX_fru_e,fru_e --> ,EX_fru_e,D-Fructose exchange
THRD,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c,THRD,L-threonine dehydrogenase
HEX4,atp_c + man_c --> adp_c + h_c + man6p_c,HEX4,Hexokinase (D-mannose:ATP)
EX_gal_e,gal_e --> ,EX_gal_e,D-Galactose exchange
NMNAT,atp_c + h_c + nmn_c --> nad_c + ppi_c,NMNAT,Nicotinamide-nucleotide adenylyltransferase
EX_xyl__D_e,xyl__D_e --> ,EX_xyl__D_e,D-Xylose exchange
KARA1,23dhmb_c + nadp_c <=> alac__S_c + h_c + nadph_c,KARA1,"Ketol-acid reductoisomerase (2,3-dihydroxy-3-methylbutanoate)"
HMPK1,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,HMPK1,Hydroxymethylpyrimidine kinase (ATP)
KARA2,2ahbut_c + h_c + nadph_c <=> 23dhmp_c + nadp_c,KARA2,Ketol-acid reductoisomerase (2-Acetolactate)
EX_duri_e,duri_e --> ,EX_duri_e,Deoxyuridine exchange
EX_for_e,for_e --> ,EX_for_e,Formate exchange
EX_gly_e,gly_e --> ,EX_gly_e,Glycine exchange
EX_h2_e,h2_e --> ,EX_h2_e,H2 exchange
EX_lys__L_e,lys__L_e --> ,EX_lys__L_e,L-Lysine exchange
ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,ACCOAC,Acetyl-CoA carboxylase
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,NADK,NAD kinase
GLXCL,2.0 glx_c + h_c --> 2h3oppan_c + co2_c,GLXCL,Glyoxalate carboligase
ICHORS_copy2,chor_c <=> ichor_c,ICHORS,Isochorismate synthase
SUCBZS,2shchc_c --> h2o_c + sucbz_c,SUCBZS,O-succinylbenzoate-CoA synthase
DHBD,23ddhb_c + nad_c <=> 23dhb_c + h_c + nadh_c,DHBD,"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase"
ICHORT,h2o_c + ichor_c --> 23ddhb_c + pyr_c,ICHORT,Isochorismatase
EX_ser__L_e,ser__L_e --> ,EX_ser__L_e,L-Serine exchange
EX_thm_e,thm_e --> ,EX_thm_e,Thiamin exchange
EX_trp__L_e,trp__L_e --> ,EX_trp__L_e,L-Tryptophan exchange
GLUTRR,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c,GLUTRR,Glutamyl-tRNA reductase
GLCS1,adpglc_c --> adp_c + glycogen_c + h_c,GLCS1,Glycogen synthase (ADPGlc)
GLCP,glycogen_c + pi_c --> g1p_c,GLCP,Glycogen phosphorylase
EX_din_e,din_e --> ,EX_din_e,Deoxyinosine exchange
RBK_L1,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c,RBK_L1,L-ribulokinase (L-ribulose)
RBP4E,ru5p__L_c <=> xu5p__D_c,RBP4E,L-ribulose-phosphate 4-epimerase
TARTD,tartr__L_c --> h2o_c + oaa_c,TARTD,L(+)-tartrate dehydratase
NTD2,h2o_c + ump_c --> pi_c + uri_c,NTD2,5'-nucleotidase (UMP)
