rxn_id,exp_reaction,exp_flux,FBA_flux,abs_difference,relative_difference
PAPSR,R0083_PAPSR,0.1699999999999999,0.1680686695118248,0.0019313304881750926,0.011360767570817746
SERAT,R0083_SERAT,0.1699999999999999,0.1680686695118248,0.0019313304881750926,0.011360767570817746
SULR,R0083_SULR,0.1699999999999999,0.1680686695118248,0.0019313304881750926,0.011360767570817746
CYSS,R0083_CYSS,0.1699999999999999,0.1680686695118248,0.0019313304881750926,0.011360767570817746
ADSK,R0083_ADSK,0.1699999999999999,0.1680686695118248,0.0019313304881750926,0.011360767570817746
PRAIi,R0093_PRAIi,0.04,0.0386029181155019,0.0013970818844981012,0.03492704702513491
IGPS,R0093_IGPS,0.04,0.0386029181155019,0.0013970818844981012,0.03492704702513491
TRPS3,R0093_TRPS3,0.04,0.0386029181155019,0.0013970818844981012,0.03492704702513491
ANS,R0093_ANS,0.04,0.0386029181155019,0.0013970818844981012,0.03492704702513491
ANPRT,R0093_ANPRT,0.04,0.0386029181155019,0.0013970818844981012,0.03492704702513491
SO4tex,R0105_SO4tex,0.1699999999999999,0.1710146691737893,0.0010146691737893954,0.005968642195250186
SO4t2pp,R0105_SO4t2pp,0.1699999999999999,0.1710146691737893,0.0010146691737893954,0.005968642195250186
EX_so4_e,R0105_EX_so4_e,-0.1699999999999999,-0.1710146691737893,0.0010146691737893954,0.005968642195250186
EX_glc__D_e,R0001_EX_glc__D_e,-10.0,-10.0,0.0,0.0
O2tex,R0103_O2tex,14.49,14.49,0.0,0.0
O2tpp,R0103_O2tpp,14.49,14.49,0.0,0.0
GLCptspp,R0001_GLCptspp,10.0,10.0,0.0,0.0
EX_o2_e,R0103_EX_o2_e,-14.49,-14.49,0.0,0.0
