rxn_id,exp_reaction,exp_flux,pFBA_flux,abs_difference,relative_difference
SO4t2pp,R0105_SO4t2pp,0.16999999999999998,0.17960588849760845,0.009605888497608461,0.05650522642328199
SADT2,R0083_SADT2,0.16999999999999998,0.17651189141912926,0.006511891419129279,0.03830524361940444
PAPSR,R0083_PAPSR,0.16999999999999998,0.17651189141912926,0.006511891419129279,0.03830524361940444
SERAT,R0083_SERAT,0.16999999999999998,0.17651189141912926,0.006511891419129279,0.03830524361940444
ADSK,R0083_ADSK,0.16999999999999998,0.17651189141912926,0.006511891419129279,0.03830524361940444
SULR,R0083_SULR,0.16999999999999998,0.17651189141912926,0.006511891419129279,0.03830524361940444
CYSS,R0083_CYSS,0.16999999999999998,0.17651189141912926,0.006511891419129279,0.03830524361940444
DAPDC,R0084_DAPDC,0.24,0.24475314233471432,0.0047531423347143276,0.019804759719724382
DHAD2,R0090_DHAD2,0.21000000000000002,0.20721435620412054,0.0027856437958794777,0.013264970450252288
ILETA,R0090_ILETA,-0.21000000000000002,-0.20721435620412054,0.0027856437958794777,0.013264970450252288
KARA2,R0090_KARA2,0.21000000000000002,0.20721435620412054,0.0027856437958794777,0.013264970450252288
ACHBS,R0090_ACHBS,0.21000000000000002,0.20721435620412054,0.0027856437958794777,0.013264970450252288
HISTP,R0094_HISTP,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
ATPPRT,R0094_ATPPRT,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
HSTPT,R0094_HSTPT,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
PRMICI,R0094_PRMICI,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
IGPDH,R0094_IGPDH,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
HISTD,R0094_HISTD,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
PRAMPC,R0094_PRAMPC,0.06999999999999999,0.06757010032756101,0.0024298996724389788,0.0347128524138242
G5SD,R0074_G5SD,0.16,0.15766332968723215,0.0023366703127678523,0.014604189445671458
GLU5K,R0074_GLU5K,0.16,0.15766332968723215,0.0023366703127678523,0.014604189445671458
P5CR,R0074_P5CR,0.16,0.15766332968723215,0.0023366703127678523,0.014604189445671458
G5SADs,R0074_G5SADs,0.16,0.15766332968723215,0.0023366703127678523,0.014604189445671458
PPNDH,R0091_PPNDH,0.13,0.13213678394293307,0.002136783942933068,0.01643679954837991
PHETA1,R0091_PHETA1,-0.13,-0.13213678394293307,0.002136783942933068,0.01643679954837991
ASNS2,R0077_ASNS2,0.16999999999999998,0.17192795429986088,0.0019279542998608956,0.011340907639569442
VALTA,R0088_VALTA,-0.3,-0.30181235401645984,0.0018123540164598495,0.006041180052852439
TYRTA,R0092_TYRTA,-0.1,-0.09851078434358336,0.0014892156564166453,0.014892156549274296
PPND,R0092_PPND,0.1,0.09851078434358336,0.0014892156564166453,0.014892156549274296
IPPMIb,R0089_IPPMIb,-0.32,-0.32133277956761164,0.0013327795676116305,0.004164936147484802
IPMD,R0089_IPMD,0.32,0.32133277956761164,0.0013327795676116305,0.004164936147484802
IPPMIa,R0089_IPPMIa,-0.32,-0.32133277956761164,0.0013327795676116305,0.004164936147484802
LEUTAi,R0089_LEUTAi,0.32,0.32133277956761164,0.0013327795676116305,0.004164936147484802
OMCDC,R0089_OMCDC,0.32,0.32133277956761164,0.0013327795676116305,0.004164936147484802
IPPS,R0089_IPPS,0.32,0.32133277956761164,0.0013327795676116305,0.004164936147484802
ARGSS,R0075_ARGSS,0.21000000000000002,0.21096809217093382,0.0009680921709337986,0.004609962716537154
ARGSL,R0075_ARGSL,0.21000000000000002,0.21096809217093382,0.0009680921709337986,0.004609962716537154
IGPS,R0093_IGPS,0.04,0.04054220284278273,0.0005422028427827311,0.013555071035680597
ANPRT,R0093_ANPRT,0.04,0.04054220284278273,0.0005422028427827311,0.013555071035680597
ANS,R0093_ANS,0.04,0.04054220284278273,0.0005422028427827311,0.013555071035680597
TRPS3,R0093_TRPS3,0.04,0.04054220284278273,0.0005422028427827311,0.013555071035680597
PRAIi,R0093_PRAIi,0.04,0.04054220284278273,0.0005422028427827311,0.013555071035680597
HSST,R0087_HSST,0.11000000000000001,0.1097741319377149,0.0002258680622851117,0.0020533460189070644
CYSTL,R0087_CYSTL,0.11000000000000001,0.1097741319377149,0.0002258680622851117,0.0020533460189070644
SHSL1,R0087_SHSL1,0.11000000000000001,0.1097741319377149,0.0002258680622851117,0.0020533460189070644
MTHFR2,R0095_MTHFR2,0.11000000000000001,0.11009365952903788,9.365952903786501e-05,0.0008514502632065452
METS,R0087_METS,0.11000000000000001,0.11009365952903788,9.365952903786501e-05,0.0008514502632065452
EX_glc__D_e,R0001_EX_glc__D_e,-10.0,-10.0,0.0,0.0
GLCptspp,R0001_GLCptspp,10.0,10.0,0.0,0.0
