Reaction,Substrate partner,Direction,SMILES,BiGG Name,DB Name,Cleaned Substrate
MLTP3,malthx_c,reverse,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O[C@@H]4[C@@H](CO)O[C@H](O[C@@H]5[C@@H](CO)O[C@H](O[C@@H]6[C@@H](CO)OC(O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Maltohexaose,Maltohexaose,malthx
SPODM,h_c,forward,[H+],H+,H(+),h
SPODM,o2s_c,forward,,Superoxide anion,,o2s
AHCYSNS,ahcys_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O,S-Adenosyl-L-homocysteine,S-Adenosyl-homocysteine,ahcys
AHCYSNS,h2o_c,forward,O,H2O H2O,,h2o
TMK,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
TMK,thm_c,forward,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,Thiamin,Thiamin,thm
NTPP4,ctp_c,forward,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1,CTP C9H12N3O14P3,CTP,ctp
NTPP4,h2o_c,forward,O,H2O H2O,,h2o
NTPP3,dctp_c,forward,Nc1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)n1,DCTP C9H12N3O13P3,dCTP,dctp
NTPP3,h2o_c,forward,O,H2O H2O,,h2o
NTPP6,atp_c,forward,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O,ATP C10H12N5O13P3,ATP,atp
NTPP6,h2o_c,forward,O,H2O H2O,,h2o
NTPP7,dttp_c,forward,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O2)c(=O)[nH]c1=O,DTTP C10H13N2O14P3,dTTP,dttp
NTPP7,h2o_c,forward,O,H2O H2O,,h2o
NTPP8,h2o_c,forward,O,H2O H2O,,h2o
